                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3687,                0.27778,                      1,                 1.3751,              2.856e-05,              2.856e-05,              2.856e-05
                      2,                 1.3475,                0.27778,                      1,                 1.3537,             6.2988e-05,             6.2988e-05,             6.2988e-05
                      3,                 1.2698,                0.38889,                      1,                 1.3228,             9.6002e-05,             9.6002e-05,             9.6002e-05
                      4,                 1.1246,                0.66667,                      1,                 1.2974,              0.0001276,              0.0001276,              0.0001276
                      5,                 1.0505,                0.72222,                      1,                 1.2658,             0.00015779,             0.00015779,             0.00015779
                      6,                 1.0039,                0.72222,                      1,                 1.2405,             0.00018656,             0.00018656,             0.00018656
                      7,                0.90461,                0.83333,                      1,                 1.1916,             0.00021392,             0.00021392,             0.00021392
                      8,                0.81315,                0.83333,                      1,                 1.1532,             0.00023987,             0.00023987,             0.00023987
                      9,                0.69235,                0.83333,                      1,                 1.0994,              0.0002644,              0.0002644,              0.0002644
                     10,                0.57864,                0.83333,                      1,                 1.0643,             0.00028751,             0.00028751,             0.00028751
                     11,                0.50782,                0.83333,                      1,                 1.0343,             0.00030922,             0.00030922,             0.00030922
                     12,                0.44843,                0.83333,                      1,                 1.0005,             0.00032951,             0.00032951,             0.00032951
                     13,                0.42877,                0.83333,                      1,                 0.9883,             0.00034839,             0.00034839,             0.00034839
                     14,                0.34703,                0.83333,                      1,                0.96777,             0.00036585,             0.00036585,             0.00036585
                     15,                0.37784,                0.83333,                      1,                0.94823,              0.0003819,              0.0003819,              0.0003819
                     16,                 0.3396,                0.83333,                      1,                0.93771,             0.00039653,             0.00039653,             0.00039653
                     17,                0.23181,                0.83333,                      1,                0.92394,             0.00040976,             0.00040976,             0.00040976
                     18,                0.22286,                0.83333,                      1,                0.91496,             0.00042156,             0.00042156,             0.00042156
                     19,                0.20477,                0.83333,                      1,                 0.9125,             0.00043196,             0.00043196,             0.00043196
                     20,                0.29182,                0.83333,                      1,                0.90139,             0.00044094,             0.00044094,             0.00044094
                     21,                0.16418,                0.83333,                      1,                0.90087,             0.00043126,             0.00043126,             0.00043126
                     22,                0.17256,                0.83333,                      1,                0.90005,             0.00041712,             0.00041712,             0.00041712
                     23,                0.15314,                0.83333,                      1,                0.89754,             0.00040298,             0.00040298,             0.00040298
                     24,                0.09301,                0.88889,                      1,                0.89876,             0.00038884,             0.00038884,             0.00038884
                     25,                0.11389,                0.88889,                      1,                0.89733,             0.00037471,             0.00037471,             0.00037471
                     26,                0.09024,                0.88889,                      1,                0.89761,             0.00036057,             0.00036057,             0.00036057
                     27,                0.05005,                0.83333,                      1,                0.90194,             0.00034643,             0.00034643,             0.00034643
                     28,                0.08162,                0.83333,                      1,                0.89718,              0.0003323,              0.0003323,              0.0003323
                     29,                0.10475,                0.83333,                      1,                0.89185,             0.00031816,             0.00031816,             0.00031816
                     30,                0.05934,                0.83333,                      1,                   0.89,             0.00030402,             0.00030402,             0.00030402
                     31,                0.06317,                0.83333,                      1,                 0.8907,             0.00028988,             0.00028988,             0.00028988
                     32,                0.04128,                0.83333,                      1,                 0.8902,             0.00027575,             0.00027575,             0.00027575
                     33,                0.05959,                0.83333,                      1,                0.88322,             0.00026161,             0.00026161,             0.00026161
                     34,                0.04915,                0.88889,                      1,                0.88003,             0.00024747,             0.00024747,             0.00024747
                     35,                0.08455,                0.83333,                      1,                0.88533,             0.00023334,             0.00023334,             0.00023334
                     36,                0.06479,                0.88889,                      1,                0.87515,              0.0002192,              0.0002192,              0.0002192
                     37,                0.03366,                0.88889,                      1,                0.87543,             0.00020506,             0.00020506,             0.00020506
                     38,                0.05036,                0.88889,                      1,                0.87365,             0.00019092,             0.00019092,             0.00019092
                     39,                0.03997,                0.88889,                      1,                0.87574,             0.00017679,             0.00017679,             0.00017679
                     40,                0.16652,                0.88889,                      1,                0.87755,             0.00016265,             0.00016265,             0.00016265
                     41,                0.02834,                0.88889,                      1,                0.87455,             0.00014851,             0.00014851,             0.00014851
                     42,                0.34814,                0.88889,                      1,                0.88127,             0.00013437,             0.00013437,             0.00013437
                     43,                0.05174,                0.88889,                      1,                 0.8696,             0.00012024,             0.00012024,             0.00012024
                     44,                 0.0359,                0.88889,                      1,                0.87127,              0.0001061,              0.0001061,              0.0001061
                     45,                0.01609,                0.88889,                      1,                0.87015,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.02712,                0.88889,                      1,                 0.8725,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.03378,                0.88889,                      1,                0.87238,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                 0.0681,                0.88889,                      1,                0.87007,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.02807,                0.88889,                      1,                0.87482,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.04107,                0.88889,                      1,                0.86806,             2.1277e-05,             2.1277e-05,             2.1277e-05
