                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.21478,                0.88889,                      1,                 1.0082,              9.996e-05,              9.996e-05,              9.996e-05
                      2,                0.11232,                0.86667,                      1,                  1.035,             0.00019339,             0.00019339,             0.00019339
                      3,                0.06425,                0.88889,                      1,                0.99585,             0.00027269,             0.00027269,             0.00027269
                      4,                0.08539,                0.86667,                      1,                 1.0137,             0.00033785,             0.00033785,             0.00033785
                      5,                0.05658,                0.86667,                      1,                 1.0248,             0.00038887,             0.00038887,             0.00038887
                      6,                0.08569,                0.86667,                      1,                 1.0556,             0.00042576,             0.00042576,             0.00042576
                      7,                0.06647,                0.84444,                      1,                 1.0468,             0.00043126,             0.00043126,             0.00043126
                      8,                0.08929,                0.86667,                      1,                 1.0099,             0.00038413,             0.00038413,             0.00038413
                      9,                0.06462,                0.86667,                      1,                0.99909,             0.00033701,             0.00033701,             0.00033701
                     10,                0.04721,                0.86667,                      1,                 1.0659,             0.00028988,             0.00028988,             0.00028988
                     11,                0.02846,                0.86667,                      1,                 1.0207,             0.00024276,             0.00024276,             0.00024276
                     12,                0.05947,                0.86667,                      1,                 1.0458,             0.00019564,             0.00019564,             0.00019564
                     13,                0.02925,                0.86667,                      1,                 1.0556,             0.00014851,             0.00014851,             0.00014851
