                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4896,                   0.25,                      1,                 1.3839,              4.998e-05,              4.998e-05,              4.998e-05
                      2,                 1.3965,                 0.4375,                      1,                 1.3578,             0.00010286,             0.00010286,             0.00010286
                      3,                  1.259,                0.59375,                      1,                 1.3339,             0.00015121,             0.00015121,             0.00015121
                      4,                 1.2079,                0.59375,                      1,                 1.2982,             0.00019504,             0.00019504,             0.00019504
                      5,                 1.0663,                0.59375,                      1,                 1.2533,             0.00023435,             0.00023435,             0.00023435
                      6,                0.96807,                0.71875,                      1,                 1.1953,             0.00026914,             0.00026914,             0.00026914
                      7,                0.83231,                0.78125,                      1,                 1.1494,             0.00029939,             0.00029939,             0.00029939
                      8,                0.71354,                0.78125,                      1,                 1.1036,             0.00032513,             0.00032513,             0.00032513
                      9,                0.62484,                0.78125,                      1,                  1.058,             0.00034634,             0.00034634,             0.00034634
                     10,                0.53275,                0.78125,                      1,                 1.0308,             0.00036303,             0.00036303,             0.00036303
                     11,                0.46789,                0.78125,                      1,                 1.0066,             0.00037519,             0.00037519,             0.00037519
                     12,                0.45431,                   0.75,                      1,                0.99274,             0.00038283,             0.00038283,             0.00038283
                     13,                0.40278,                   0.75,                      1,                0.97591,             0.00037471,             0.00037471,             0.00037471
                     14,                0.30191,                   0.75,                      1,                0.96862,             0.00034643,             0.00034643,             0.00034643
                     15,                0.31652,                   0.75,                      1,                0.95981,             0.00031816,             0.00031816,             0.00031816
                     16,                0.27551,                0.78125,                      1,                 0.9564,             0.00028988,             0.00028988,             0.00028988
                     17,                0.33965,                0.78125,                      1,                0.95186,             0.00026161,             0.00026161,             0.00026161
                     18,                0.25312,                0.78125,                      1,                0.94562,             0.00023334,             0.00023334,             0.00023334
                     19,                 0.2504,                0.78125,                      1,                0.94235,             0.00020506,             0.00020506,             0.00020506
                     20,                0.21867,                0.78125,                      1,                   0.94,             0.00017679,             0.00017679,             0.00017679
                     21,                0.22959,                 0.8125,                      1,                0.93489,             0.00014851,             0.00014851,             0.00014851
                     22,                0.18869,                0.84375,                      1,                0.92831,             0.00012024,             0.00012024,             0.00012024
                     23,                0.16069,                 0.8125,                      1,                0.92827,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     24,                0.11116,                 0.8125,                      1,                 0.9301,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     25,                0.17173,                 0.8125,                      1,                0.92896,             3.5414e-05,             3.5414e-05,             3.5414e-05
